entity_type,competition_id,external_db,external_id,secondary_id,mapping_status,mapping_confidence,proxy_flag,evidence,used_by_final_model,used_in_experiments
compound,"(1R, 2S, 5R) - (-) - Menthol",PubChem,CID:16666,CC1CCC(C(C1)O)C(C)C,MAPPED,VERIFIED_PUBCHEM_SYNONYM_ALIAS,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,(S)-(+)-Camptothecin,PubChem,CID:24360,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,1-10 Phenanthroline monohydrate,PubChem,CID:21226,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,MAPPED,VERIFIED_PUBCHEM_SYNONYM_ALIAS,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,4-Hydroxytamoxifen,PubChem,CID:449459,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Abietic acid,PubChem,CID:10569,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Amiodarone hydrochloride,PubChem,CID:441325,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Amphotericin B,PubChem,CID:5280965,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Anisomycin,PubChem,CID:253602,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Artemisinin,PubChem,CID:68827,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Brefeldin A,PubChem,CID:5287620,CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,CHX,PubChem,,,UNMAPPED,NO_HIT,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Cisplatin,PubChem,CID:5702198,N.N.Cl[Pt]Cl,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Clomiphene citrate,PubChem,CID:60974,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Clotrimazole,PubChem,CID:2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Cyclopiazonic acid,PubChem,CID:54682463,CC(=O)C1=C(C2C3C(CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,DMSO,PubChem,CID:679,CS(=O)C,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Desipramine hydrochloride,PubChem,CID:65327,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Doxycycline hyclate,PubChem,,,AMBIGUOUS,MULTIPLE_CIDS_FOR_EXACT_NAME,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Dyclonine hydrochloride,PubChem,CID:68304,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,EDTA,PubChem,CID:6049,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Emodin,PubChem,CID:3220,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,FCCP,PubChem,CID:3330,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Fluconazole,PubChem,CID:3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,G418,PubChem,CID:123865,CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Geldanamycin,PubChem,CID:5288382,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,H2O2,PubChem,CID:784,OO,MAPPED,VERIFIED_PUBCHEM_SYNONYM_ALIAS,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Haloperidol,PubChem,CID:3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Harmine hydrochloride,PubChem,CID:5359389,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC.Cl,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Hoechst 33258,PubChem,,,AMBIGUOUS,MULTIPLE_CIDS_FOR_EXACT_NAME,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Hydroxyurea,PubChem,CID:3657,C(=O)(N)NO,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Hygromycin B,PubChem,CID:56928061,CNC1CC(C(C(C1O)OC2C3C(C(C(O2)CO)O)OC4(O3)C(C(C(C(O4)C(CO)N)O)O)O)O)N,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,LY 294002 hydrochloride,PubChem,CID:11957589,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4.Cl,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,MMS,PubChem,CID:4156,COS(=O)(=O)C,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,NaCl,PubChem,CID:5234,[Na+].[Cl-],MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Neomycin B,PubChem,CID:8378,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Nigericin,PubChem,CID:34230,CC1CCC(OC1C(C)C(=O)O)CC2CC(C(C3(O2)C(CC(O3)(C)C4CCC(O4)(C)C5C(CC(O5)C6C(CC(C(O6)(CO)O)C)C)C)C)C)OC,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Nocodazole,PubChem,CID:4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Nystatin dihydrate,PubChem,CID:154809619,CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O.O.O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Oligomycin,PubChem,,,UNMAPPED,NO_HIT,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Parthenolide,PubChem,CID:6473881,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Pentamidine isethionate,PubChem,CID:8813,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Plumbagin,PubChem,CID:10205,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Quality Control,PubChem,,,QC_EXCLUDED,QC_NOT_A_COMPOUND,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Raloxifene hydrochloride,PubChem,CID:54900,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Rapamycin,PubChem,CID:5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,SDS,PubChem,,,UNMAPPED,NO_HIT,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Sorbitol,PubChem,CID:5780,C(C(C(C(C(CO)O)O)O)O)O,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Staurosporine,PubChem,CID:44259,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Sulfometuron methyl,PubChem,CID:52997,CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Tamoxifen,PubChem,CID:2733526,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
compound,Trichostatin A,PubChem,CID:444732,CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,0,PubChem PUG REST; see external_data/RAW_SOURCES.md,False,P3 / C1 / C1R chemical-feature falsification (negative)
