query_label,query_url,http_status,candidate_cids,candidate_count,mapping_status,mapping_confidence,canonical_smiles,isomeric_smiles,molecular_weight,xlogp,tpsa,hbond_donor_count,hbond_acceptor_count,rotatable_bond_count,heavy_atom_count,formal_charge,pubchem_cid,pubchem_title,property_url,error_excerpt,n_train,n_validation,n_test,observed_pert_ids,retrieved_at,source,source_api_docs,pert_ids_observed,refined_at
"(1R, 2S, 5R) - (-) - Menthol",https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/%28-%29-Menthol/cids/JSON,404.0,16666,1.0,MAPPED,VERIFIED_PUBCHEM_SYNONYM_ALIAS,CC1CCC(C(C1)O)C(C)C,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,156.26,3.0,20.2,1.0,1.0,1.0,11.0,0.0,16666.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/16666/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON","{
  ""Fault"": {
    ""Code"": ""PUGREST.NotFound"",
    ""Message"": ""No CID found"",
    ""Details"": [
      ""No CID found that matches the given name""
    ]
  }
}
",85,29,30,#4,2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,#4,2026-08-10T16:50:47.151777+00:00
(S)-(+)-Camptothecin,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/%28S%29-%28%2B%29-Camptothecin/cids/JSON,200.0,24360,1.0,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,348.4,1.0,79.7,1.0,5.0,1.0,26.0,0.0,24360.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/24360/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON",,0,0,144,#5,2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,#5,2026-08-10T16:50:47.151777+00:00
1-10 Phenanthroline monohydrate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1%2C10-phenanthroline%20monohydrate/cids/JSON,404.0,21226,1.0,MAPPED,VERIFIED_PUBCHEM_SYNONYM_ALIAS,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,198.22,,26.8,1.0,3.0,0.0,15.0,0.0,21226.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/21226/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON","{
  ""Fault"": {
    ""Code"": ""PUGREST.NotFound"",
    ""Message"": ""No CID found"",
    ""Details"": [
      ""No CID found that matches the given name""
    ]
  }
}
",165,48,42,"#46,#6",2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,"#46,#6",2026-08-10T16:50:47.151777+00:00
4-Hydroxytamoxifen,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/4-Hydroxytamoxifen/cids/JSON,200.0,449459,1.0,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,387.5,6.8,32.7,1.0,3.0,8.0,29.0,0.0,449459.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/449459/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON",,91,25,27,#7,2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,#7,2026-08-10T16:50:47.151777+00:00
Abietic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Abietic%20acid/cids/JSON,200.0,10569,1.0,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,302.5,4.8,37.3,1.0,2.0,2.0,22.0,0.0,10569.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/10569/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON",,0,0,143,#3,2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,#3,2026-08-10T16:50:47.151777+00:00
Amiodarone hydrochloride,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Amiodarone%20hydrochloride/cids/JSON,200.0,441325,1.0,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,681.8,,42.7,1.0,4.0,11.0,32.0,0.0,441325.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/441325/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON",,93,25,25,#8,2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,#8,2026-08-10T16:50:47.151777+00:00
Amphotericin B,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Amphotericin%20B/cids/JSON,200.0,5280965,1.0,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,924.1,0.0,320.0,12.0,18.0,3.0,65.0,0.0,5280965.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5280965/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON",,0,353,69,#9,2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,#9,2026-08-10T16:50:47.151777+00:00
Anisomycin,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Anisomycin/cids/JSON,200.0,253602,1.0,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,265.3,0.9,67.8,2.0,5.0,5.0,19.0,0.0,253602.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/253602/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON",,186,52,50,"#45,#9",2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,"#45,#9",2026-08-10T16:50:47.151777+00:00
Artemisinin,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Artemisinin/cids/JSON,200.0,68827,1.0,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,282.33,2.8,54.0,0.0,5.0,0.0,20.0,0.0,68827.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/68827/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON",,90,27,26,#10,2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,#10,2026-08-10T16:50:47.151777+00:00
Brefeldin A,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Brefeldin%20A/cids/JSON,200.0,5287620,1.0,MAPPED,EXACT_NAME_SINGLE_CID_WITH_SMILES,CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O,280.36,2.0,66.8,2.0,4.0,0.0,20.0,0.0,5287620.0,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5287620/property/CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge/JSON",,176,58,54,"#11,#44",2026-08-10T16:46:49.783130+00:00,PubChem PUG REST,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,"#11,#44",2026-08-10T16:50:47.151777+00:00
