family,seed,axis,n_entities,n_folds,pcc_macro,pcc_lo,pcc_hi,rmse_macro,rmse_lo,rmse_hi,mae_macro
e1a,20260810,compound,40,10,0.9879006921750308,0.9835527458439189,0.9916194717011998,0.3874206284102925,0.34610792545530383,0.43553058046452203,0.2636989259582333
e1a,20260810,plate,144,12,0.990256590259469,0.989343129668634,0.9911270941736172,0.37687290036411636,0.36195249318192346,0.39291527335431886,0.262437212461939
e1a,20260810,strain,4,4,0.975702146617601,0.9724192504281999,0.9795052018762218,0.6073000378040033,0.5507371408079659,0.6473031732479828,0.4070939201592033
e1a,20260810,time,6,6,0.9897145827727721,0.9875487765843513,0.9910978916539871,0.3948434598054836,0.36917473221897773,0.4345344599452599,0.2704025496052322
e1a,3407,plate,144,12,0.990114740972508,0.9891664862855454,0.9909942720020338,0.3797235593548367,0.36454621959868566,0.395928898051954,0.26437801109461134
e1a,42,plate,144,12,0.9900762267345371,0.9891005687212788,0.9909924134799039,0.38118098955822394,0.36543839565944014,0.3984012716642266,0.2661258647954501
e1a_rng_matched_ef,20260810,plate,144,12,0.9901801358508833,0.9892406815683203,0.9910655810668958,0.3784472678876567,0.3635357270801781,0.3947848314433037,0.26369648680993985
e1a_rng_matched_ef,3407,plate,144,12,0.9901603656039722,0.989220009750015,0.9910107331012777,0.3789641264327852,0.3641368978408294,0.3948122110832892,0.2636899229083239
e1a_rng_matched_ef,42,plate,144,12,0.9901066076901408,0.9891592991905531,0.9910037753999982,0.3807718759980802,0.36527206850854976,0.39757667659467827,0.2656215534511688
e1c,20260810,compound,40,10,0.9879006921750308,0.9835527458439189,0.9916194717011998,0.3874206284102925,0.34610792545530383,0.43553058046452203,0.2636989259582333
e1c,20260810,plate,144,12,0.9902848002506176,0.9893783398051317,0.9911460384340113,0.37642906311432106,0.3616501183888167,0.39229876460220786,0.2620458828804947
e1c,20260810,strain,4,4,0.9756855874410312,0.9724056329797093,0.979452274038845,0.607689462249922,0.5517213153125093,0.6480483075058465,0.40726155959378374
e1c,20260810,time,6,6,0.9897628225317842,0.9876187140833906,0.9911281530862399,0.3933076603463654,0.36797286004036994,0.43253236955428237,0.2689868968882064
e1c,3407,plate,144,12,0.9901323421374868,0.9891930269367197,0.9910092220113249,0.3794310713320187,0.36436915325344726,0.3955377373249663,0.2641654065221841
e1c,42,plate,144,12,0.9900932526706274,0.9891148393693894,0.9910087843224642,0.3808849050377427,0.3650075223764423,0.398355960571817,0.2660201425451124
e1e,20260810,compound,40,10,0.9878745251473756,0.983499436525391,0.991618824149984,0.38765733665789376,0.34634894625217144,0.43602621515195833,0.26379453530518315
e1e,20260810,plate,144,12,0.9902239367830029,0.9893127926628713,0.9910834268608896,0.37824997338109095,0.36330296323216754,0.39407788221870765,0.2636799986195776
e1e,20260810,strain,4,4,0.9755958235172275,0.9723859032738237,0.9792539114579907,0.6085014303502914,0.5534254485912755,0.6479531134736959,0.4080079035495079
e1e,20260810,time,6,6,0.9897248677047509,0.9877886291751687,0.9910176160809399,0.39458156694545443,0.36985860252722147,0.43031154672584054,0.2691783966041398
e1e,3407,plate,144,12,0.9902249923697839,0.9893404585669995,0.991064854133646,0.37779654727880774,0.3632138569769108,0.3929735080170425,0.26282849391227214
e1e,42,plate,144,12,0.9901103168521206,0.9891505066775552,0.9910014662470048,0.38055912810019177,0.3649165547919353,0.39753825150665323,0.2655032729942816
e1f,20260810,compound,40,10,0.9878573828691259,0.9834730231669476,0.9916129151389509,0.3878134880433984,0.34644931219242164,0.43620757272095423,0.2638823658665423
e1f,20260810,plate,144,12,0.9902134054464058,0.989322587638998,0.9910460048183429,0.37791629967590523,0.3634915200196991,0.3934592180159014,0.263000115827103
e1f,20260810,strain,4,4,0.9756716333759288,0.9725618336759285,0.9793077552220528,0.6069212601264522,0.5524489585241574,0.6446767240762755,0.40694467478460483
e1f,20260810,time,6,6,0.989520489832617,0.9873375760848951,0.9908876033379163,0.39705343407137916,0.3718225902995651,0.4365428581549123,0.27130004303866984
e1f,3407,plate,144,12,0.9901658855837864,0.9892732633354416,0.991007137578072,0.37852137315938905,0.3641261340746288,0.3943056783202721,0.26313715862170106
e1f,42,plate,144,12,0.9900988445712033,0.9891767628922928,0.9909657864321418,0.3807293852204891,0.3656406515908335,0.397075185573294,0.2654277908772014
