sample_ID,compound_seen,strain_seen,time_seen,plate_seen,source_seen,instrument_seen,time_distance,expert_disagreement,compound_log1p_count,strain_log1p_count,plate_log1p_count,A,B,C,n_obs_proteins,axis,fold_id,field_col,gate_value
B1061,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2547657269867646,5.869296913133774,7.226209010100671,0.0,0.1463185468828938,-0.0405676067756877,0.0489691515423162,3854,plate,0,Yeast_cell_plate,0.6498618
B1065,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2289211319815145,5.869296913133774,7.245655067594535,0.0,0.1470902152195079,-0.0378399797293394,0.0435899911239415,4044,plate,0,Yeast_cell_plate,0.649485
B1067,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2818667862431246,5.869296913133774,7.16703787691222,0.0,0.1455529131877521,-0.053736666430344,0.0623900631966915,4131,plate,0,Yeast_cell_plate,0.649961
B1071,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2736490888430045,6.226536669287466,7.212294468500341,0.0,0.1539192702443635,-0.0462798023871124,0.0563679833450955,3946,plate,0,Yeast_cell_plate,0.6499826
B1072,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2852193230002821,5.517452896464707,7.212294468500341,0.0,0.159672005472282,-0.0437835600701316,0.0671864700795799,3920,plate,0,Yeast_cell_plate,0.64991033
B1073,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2378503613293746,6.226536669287466,7.226209010100671,0.0,0.1565600472637679,-0.0307490150919109,0.0373095493865762,3804,plate,0,Yeast_cell_plate,0.6498946
B1074,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2805225418057289,5.517452896464707,7.226209010100671,0.0,0.1711350522740142,-0.0332870848982884,0.0597600169790601,3834,plate,0,Yeast_cell_plate,0.6498892
B1077,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2653246543294834,6.226536669287466,7.245655067594535,0.0,0.1718572931701732,-0.0465744543705154,0.0569552038860546,4051,plate,0,Yeast_cell_plate,0.6499752
B1078,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2637974778416149,5.517452896464707,7.245655067594535,0.0,0.1198720819778305,-0.0216794315874422,0.0599855132121228,4005,plate,0,Yeast_cell_plate,0.64974713
B1079,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2590657176643207,6.226536669287466,7.16703787691222,0.0,0.1653528966266489,-0.053648847614594,0.0489712817724949,4116,plate,0,Yeast_cell_plate,0.6499593
B1080,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2716046605110277,5.517452896464707,7.16703787691222,0.0,0.1715859250800924,-0.0388277804301163,0.0603168397949998,4111,plate,0,Yeast_cell_plate,0.64979935
